center_x,center_y,inner_x,inner_y,outer_x,outer_y
150.0,0.0,157.39993116187077,3.03990440632169,142.60006883812923,-3.03990440632169
149.21626209450733,1.90782530448453,155.42866295345445,6.948269289666087,143.0038612355602,-3.1326186806970275
146.88561553017763,3.8385120065408636,151.1764362683892,10.590464123709166,142.59479479196605,-2.9134401106274392
143.06904965646024,5.814337992022164,146.32433619967094,13.12208111295843,139.81376311324954,-1.4934051289141026
137.86586531071487,7.856424380666169,140.5599853987228,15.389134182018672,135.17174522270693,0.3237145793136671
131.4102414160494,9.984182617801288,133.78828663316267,17.62256601649009,129.0321961989361,2.345799219112487
123.86660235198529,12.214791666580691,126.06927277122757,19.9055811594868,121.66393193274301,4.52400217367458
115.42395265967735,14.562714560406878,117.54142409422786,22.27739632467056,113.30648122512684,6.848032796143197
106.28938272308646,17.039262928042525,108.38580268002174,24.75969189048778,104.19296276615118,9.318833965597271
96.68097879154318,19.65221731480146,98.80675093848338,27.36461595460823,94.55520664460299,11.939818674994694
86.8203920042044,22.405510204943354,89.01898539064018,30.097466205930413,84.6217986177686,14.713554203956296
76.92533317427737,25.29897761781359,79.23744849243744,32.95757558059565,74.6132178561173,17.640379655031527
67.20226255424987,28.328184020087683,69.66862541475224,35.93850952168974,64.7358996937475,20.717858518485627
57.83953654457224,31.484324086988487,60.50288436951267,39.027968986066455,55.17618871963181,23.94067918791052
49.001256590495004,34.75420357612741,51.90769661661966,42.207565661424255,46.09481656437035,27.300841490830564
40.82203994010886,38.12030026923013,44.021652746320896,45.45259035421203,37.62242713389682,30.78801018424823
33.402898436067744,41.560904610639284,36.94913415842282,48.73197232761789,29.856662713712666,34.38983689366068
26.80837129552939,45.05033834863532,30.75540644029897,52.00885209554664,22.86133615075981,38.09182460172401
21.065012351791452,48.55924818773112,25.46193060460525,55.242593897633675,16.668094098977654,41.87590247782857
16.16128313137692,52.05497020823164,21.042150261319467,58.39351389427234,11.280416001434372,45.716426522190936
12.048852197109365,55.50195962382975,17.419233266173446,61.43146273733244,6.678471128045284,49.57245651032706
8.645250242772715,58.862279348099705,14.468741364138626,64.34743669856582,2.821759121406803,53.377121997633594
5.837781320031635,62.09613984434119,12.028479325566131,67.16321574709528,-0.35291668550286115,57.0290639415871
3.4885450885986753,65.16248185655697,9.911992036262156,69.93105914024994,-2.934901859064804,60.39390457286398
1.440384750650531,68.01959287672692,7.914938408477326,72.71854541233756,-5.034168907176264,63.320640341116274
-0.4764581854646919,70.62574760713261,5.806832224401326,75.57754138568254,-6.759748595330709,65.67395382858268
-2.4372267575318,72.93986223610297,3.3242670610192633,78.4901044811584,-8.198720576082863,67.38961999104754
-4.615330202737622,74.92215206849389,0.22033916244589058,81.2952440802748,-9.450999567921135,68.54906005671297
-7.17509288068695,76.53478194316678,-3.6018508535461327,83.69243109742648,-10.748334907827768,69.37713278890708
-10.264836499652102,77.74249893066408,-8.040610211176542,85.42708203045903,-12.489062788127661,70.05791583086913
-14.010549613155163,78.5132370344389,-12.975193085044367,86.4459564206077,-15.04590614126596,70.5805176482701
-18.510377092693265,78.81868401489795,-18.41134668577591,86.8180710525719,-18.60940749961062,70.81929697722401
-23.830132594811687,78.63480101101015,-24.438583689467738,86.6116291566713,-23.221681500155636,70.65797286534901
-30.00000000000003,77.94228634059948,-31.14586220661537,85.85979856373186,-28.854137793384687,70.0247741174671
-37.012546746052024,76.72697570652562,-38.58029993774879,84.57185619828103,-35.44479355435526,68.88209521477022
-44.82212446603784,74.98017200835707,-46.73769002491068,82.74745007661626,-42.90655890716501,67.21289394009789
-53.34568208849876,72.69889904241673,-55.56490430004997,80.38492875714967,-51.12645987694756,65.01286932768379
-62.46496538160646,69.88607454999789,-64.96555316012426,77.48522323665532,-59.964377603088664,62.28692586334045
-72.03002667395461,66.5505993253655,-74.80647212898961,74.05335552793635,-69.2535812189196,59.04784312279464
-81.86392097907793,62.70736040191319,-84.92460237114402,70.09872221258519,-78.80323958701184,55.3159985912412
-91.7684217062971,58.377147675696094,-95.13425775066256,65.63463675405166,-88.40258566193165,51.11965859734053
-101.53055211348499,53.58648467909008,-105.23474006135943,60.677252736700034,-97.82636416561054,46.49571662148012
-110.92969898678935,48.36737556192545,-115.01809818136884,55.24378392863562,-106.84129979220985,41.490967195215276
-119.74505379137099,42.75697165161361,-124.27655037248758,49.34981161139791,-115.21355721025441,36.16413169182931
-127.76311449430897,36.79716222652761,-132.8085857825564,43.00548079756364,-122.71764320606154,30.58884365549158
-134.78497885209825,30.534095328012025,-140.42183303321394,36.210879183403954,-129.14812467098255,24.857311472620097
-140.63316726853247,24.017635536841293,-146.9294568530793,28.95289008625687,-134.33687768398565,19.08238098742572
-145.15773010081503,17.300766632104235,-152.13686048181927,21.211231965660307,-138.1785997198108,13.390301298548161
-148.2414199172051,10.438947918500965,-155.8239014464303,12.989628976367367,-140.65893838797987,7.888266860634563
-149.80374276317474,3.489433737996026,-157.7538858305864,4.38118774425925,-141.85359969576308,2.5976797317328013
-149.80374276317474,-3.4894337379960483,-157.7538858305864,-4.381187744259289,-141.85359969576308,-2.5976797317328075
-148.24141991720506,-10.438947918500986,-155.82390144643028,-12.989628976367403,-140.65893838797984,-7.8882668606345705
-145.157730100815,-17.300766632104256,-152.13686048181924,-21.21123196566033,-138.17859971981076,-13.390301298548184
-140.63316726853247,-24.01763553684127,-146.9294568530793,-28.952890086256843,-134.33687768398565,-19.082380987425694
-134.78497885209822,-30.534095328012043,-140.42183303321394,-36.21087918340396,-129.1481246709825,-24.857311472620125
-127.76311449430901,-36.79716222652759,-132.80858578255643,-43.005480797563614,-122.71764320606157,-30.588843655491566
-119.745053791371,-42.75697165161363,-124.27655037248759,-49.34981161139794,-115.21355721025442,-36.164131691829326
-110.92969898678936,-48.36737556192543,-115.01809818136884,-55.24378392863561,-106.84129979220988,-41.49096719521525
-101.53055211348496,-53.58648467909009,-105.23474006135942,-60.67725273670005,-97.8263641656105,-46.495716621480135
-91.76842170629715,-58.37714767569608,-95.1342577506626,-65.63463675405164,-88.4025856619317,-51.11965859734051
-81.86392097907789,-62.707360401913206,-84.92460237114398,-70.0987222125852,-78.8032395870118,-55.31599859124121
-72.03002667395464,-66.55059932536548,-74.80647212898965,-74.05335552793633,-69.25358121891962,-59.047843122794625
-62.46496538160643,-69.8860745499979,-64.96555316012424,-77.48522323665533,-59.96437760308863,-62.28692586334047
-53.345682088498805,-72.69889904241673,-55.56490430005001,-80.38492875714967,-51.1264598769476,-65.01286932768379
-44.822124466037806,-74.98017200835709,-46.73769002491064,-82.74745007661627,-42.90655890716497,-67.2128939400979
-37.01254674605207,-76.72697570652562,-38.580299937748826,-84.57185619828104,-35.44479355435531,-68.8820952147702
-29.99999999999995,-77.94228634059948,-31.145862206615288,-85.85979856373186,-28.854137793384613,-70.0247741174671
-23.83013259481168,-78.63480101101015,-24.438583689467734,-86.6116291566713,-23.221681500155626,-70.65797286534901
-18.510377092693265,-78.81868401489795,-18.41134668577591,-86.8180710525719,-18.60940749961062,-70.81929697722401
-14.010549613155177,-78.5132370344389,-12.97519308504436,-86.4459564206077,-15.045906141265995,-70.5805176482701
-10.264836499652056,-77.74249893066406,-8.0406102111765,-85.42708203045902,-12.489062788127612,-70.05791583086909
-7.175092880686954,-76.53478194316678,-3.6018508535461513,-83.69243109742648,-10.748334907827756,-69.37713278890708
-4.615330202737603,-74.92215206849389,0.22033916244593055,-81.29524408027478,-9.450999567921137,-68.54906005671299
-2.4372267575318345,-72.93986223610297,3.3242670610192384,-78.49010448115838,-8.198720576082907,-67.38961999104755
-0.476458185464673,-70.6257476071326,5.806832224401334,-75.57754138568254,-6.75974859533068,-65.67395382858265
1.4403847506505238,-68.0195928767269,7.914938408477322,-72.71854541233753,-5.034168907176275,-63.32064034111627
3.4885450885986664,-65.16248185655698,9.911992036262133,-69.93105914024999,-2.9349018590647997,-60.39390457286398
5.837781320031626,-62.09613984434121,12.02847932556613,-67.1632157470953,-0.352916685502878,-57.029063941587125
8.645250242772708,-58.8622793480997,14.468741364138618,-64.34743669856582,2.8217591214067976,-53.37712199763359
12.04885219710938,-55.50195962382975,17.419233266173464,-61.43146273733244,6.678471128045297,-49.57245651032706
16.161283131376894,-52.054970208231644,21.042150261319442,-58.39351389427234,11.280416001434345,-45.71642652219095
21.065012351791484,-48.5592481877311,25.461930604605282,-55.242593897633654,16.668094098977686,-41.87590247782855
26.8083712955294,-45.05033834863531,30.75540644029898,-52.00885209554662,22.861336150759822,-38.09182460172399
33.402898436067744,-41.560904610639284,36.94913415842282,-48.73197232761789,29.856662713712666,-34.38983689366068
40.82203994010882,-38.12030026923014,44.02165274632086,-45.45259035421205,37.622427133896785,-30.78801018424824
49.001256590495075,-34.75420357612739,51.90769661661974,-42.207565661424226,46.09481656437041,-27.300841490830546
57.83953654457225,-31.484324086988465,60.50288436951268,-39.02796898606643,55.17618871963182,-23.940679187910497
67.20226255424987,-28.328184020087683,69.66862541475223,-35.93850952168974,64.73589969374751,-20.717858518485627
76.9253331742773,-25.29897761781361,79.23744849243737,-32.95757558059567,74.61321785611723,-17.640379655031545
86.82039200420448,-22.405510204943337,89.01898539064027,-30.097466205930395,84.62179861776869,-14.713554203956278
96.6809787915432,-19.652217314801455,98.8067509384834,-27.36461595460822,94.55520664460299,-11.93981867499469
106.28938272308638,-17.03926292804253,108.38580268002165,-24.759691890487783,104.1929627661511,-9.318833965597275
115.42395265967731,-14.56271456040689,117.54142409422782,-22.277396324670573,113.3064812251268,-6.848032796143207
123.8666023519853,-12.214791666580675,126.06927277122759,-19.905581159486786,121.66393193274303,-4.524002173674562
131.41024141604942,-9.984182617801284,133.78828663316267,-17.622566016490087,129.03219619893616,-2.3457992191124815
137.86586531071484,-7.856424380666178,140.55998539872277,-15.389134182018681,135.1717452227069,-0.3237145793136751
143.06904965646032,-5.814337992022148,146.32433619967102,-13.122081112958414,139.81376311324962,1.4934051289141177
146.88561553017763,-3.8385120065408582,151.17643626838924,-10.590464123709143,142.59479479196602,2.913440110627426
149.21626209450733,-1.9078253044845304,155.42866295345445,-6.948269289666099,143.0038612355602,3.1326186806970386
150.0,-7.34788079488412e-15,157.39993116187077,-3.039904406321707,142.60006883812923,3.039904406321692
